company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Unusual Circumstances,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,36.0,3.0,3.0
Castelion,113,0.4886877828054299,0.016117587846281527,0.13094798669908747,0.19679776240434207,81.0,114.14,50.0
LightSource,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,94.0,33.0,30.0
Senseera,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,55.0,8.44,16.0
Horizon Quantum,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,89.0,22.18,33.0
Here Not There Labs,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,92.0,43.5,10.0
smallcase,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.33721455640687625,80.0,117.88,284.0
Spaceium,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,62.0,5.5,2.0
TaleMonster Games,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,59.0,3.53,7.0
Quanta,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,4.7,52.0
Cape,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,95.0,76.38,95.0
Unframe (Business/Productivity Software),24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,94.0,50.0,25.0
dYdX (Financial Software),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,86.0,91.96,75.0
Altera,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,96.0,757.28,300.0
Privy (Network Management Software),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,90.0,41.3,27.0
Pennylane,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,90.0,256.22,664.0
